Weekly_Sales,Store,Unemployment,Fuel_Price,CPI,Week,Temperature,Month,Year
1643690.9,1,8.106,2.572,211.0963582,5,42.31,2,2010
1641957.44,1,8.106,2.548,211.2421698,6,38.51,2,2010
1611968.17,1,8.106,2.514,211.2891429,7,39.93,2,2010
1409727.59,1,8.106,2.561,211.3196429,8,46.63,2,2010
1554806.68,1,8.106,2.625,211.3501429,9,46.5,3,2010
1439541.59,1,8.106,2.667,211.3806429,10,57.79,3,2010
1472515.79,1,8.106,2.72,211.215635,11,54.58,3,2010
1404429.92,1,8.106,2.732,211.0180424,12,51.45,3,2010
1594968.28,1,7.808,2.719,210.8204499,13,62.27,4,2010
1545418.53,1,7.808,2.77,210.6228574,14,65.86,4,2010
1466058.28,1,7.808,2.808,210.4887,15,66.32,4,2010
1391256.12,1,7.808,2.795,210.4391228,16,64.84,4,2010
1425100.71,1,7.808,2.78,210.3895456,17,67.41,4,2010
1603955.12,1,7.808,2.835,210.3399684,18,72.55,5,2010
1494251.5,1,7.808,2.854,210.3374261,19,74.78,5,2010
1399662.07,1,7.808,2.826,210.6170934,20,76.44,5,2010
1432069.95,1,7.808,2.759,210.8967606,21,80.44,5,2010
1615524.71,1,7.808,2.705,211.1764278,22,80.69,6,2010
1542561.09,1,7.808,2.668,211.4560951,23,80.43,6,2010
1503284.06,1,7.808,2.637,211.4537719,24,84.11,6,2010
1422711.6,1,7.808,2.653,211.3386526,25,84.34,6,2010
1492418.14,1,7.787,2.669,211.2235333,26,80.91,7,2010
1546074.18,1,7.787,2.642,211.108414,27,80.48,7,2010
1448938.92,1,7.787,2.623,211.1003854,28,83.15,7,2010
1385065.2,1,7.787,2.608,211.2351443,29,83.36,7,2010
1371986.6,1,7.787,2.64,211.3699032,30,81.84,7,2010
1605491.78,1,7.787,2.627,211.5046621,31,87.16,8,2010
1508237.76,1,7.787,2.692,211.6394211,32,87.0,8,2010
1513080.49,1,7.787,2.664,211.6033633,33,86.65,8,2010
1449142.92,1,7.787,2.619,211.5673056,34,85.22,8,2010
1540163.53,1,7.787,2.577,211.5312479,35,81.21,9,2010
1507460.69,1,7.787,2.565,211.4951902,36,78.69,9,2010
1430378.67,1,7.787,2.582,211.5224596,37,82.11,9,2010
1351791.03,1,7.787,2.624,211.5972246,38,80.94,9,2010
1453329.5,1,7.838,2.603,211.6719895,39,71.89,10,2010
1508239.93,1,7.838,2.633,211.7467544,40,63.93,10,2010
1459409.1,1,7.838,2.72,211.8137436,41,67.18,10,2010
1345454.0,1,7.838,2.725,211.8612937,42,69.86,10,2010
1384209.22,1,7.838,2.716,211.9088438,43,69.64,10,2010
1551659.28,1,7.838,2.689,211.9563939,44,58.74,11,2010
1494479.49,1,7.838,2.728,212.003944,45,59.61,11,2010
1483784.18,1,7.838,2.771,211.8896737,46,51.41,11,2010
1955624.11,1,7.838,2.735,211.7484333,47,64.52,11,2010
1548033.78,1,7.838,2.708,211.607193,48,49.27,12,2010
1682614.26,1,7.838,2.843,211.4659526,49,46.33,12,2010
1891034.93,1,7.838,2.869,211.4053124,50,49.84,12,2010
2387950.2,1,7.838,2.886,211.4051222,51,52.33,12,2010
1367320.01,1,7.838,2.943,211.4049321,52,48.43,12,2010
1444732.28,1,7.742,2.976,211.4047419,1,48.27,1,2011
1391013.96,1,7.742,2.983,211.4574109,2,35.4,1,2011
1327405.42,1,7.742,3.016,211.8272343,3,44.04,1,2011
1316899.31,1,7.742,3.01,212.1970577,4,43.83,1,2011
1606629.58,1,7.742,2.989,212.5668812,5,42.27,2,2011
1649614.93,1,7.742,3.022,212.9367046,6,36.39,2,2011
1686842.78,1,7.742,3.045,213.2478853,7,57.36,2,2011
1456800.28,1,7.742,3.065,213.535609,8,62.9,2,2011
1636263.41,1,7.742,3.288,213.8233327,9,59.58,3,2011
1553191.63,1,7.742,3.459,214.1110564,10,53.56,3,2011
1576818.06,1,7.742,3.488,214.3627114,11,62.76,3,2011
1541102.38,1,7.742,3.473,214.5999389,12,69.97,3,2011
1495064.75,1,7.682,3.524,214.8371664,13,59.17,4,2011
1614259.35,1,7.682,3.622,215.0743939,14,67.84,4,2011
1559889.0,1,7.682,3.743,215.2918561,15,71.27,4,2011
1564819.81,1,7.682,3.807,215.4599053,16,72.99,4,2011
1455090.69,1,7.682,3.81,215.6279544,17,72.03,4,2011
1629391.28,1,7.682,3.906,215.7960035,18,64.61,5,2011
1604775.58,1,7.682,3.899,215.9640526,19,75.64,5,2011
1428218.27,1,7.682,3.907,215.7339202,20,67.63,5,2011
1466046.67,1,7.682,3.786,215.5037878,21,77.72,5,2011
1635078.41,1,7.682,3.699,215.2736553,22,83.0,6,2011
1588948.32,1,7.682,3.648,215.0435229,23,83.13,6,2011
1532114.86,1,7.682,3.637,214.9980596,24,86.41,6,2011
1438830.15,1,7.682,3.594,215.0910982,25,83.58,6,2011
1488538.09,1,7.962,3.524,215.1841368,26,85.55,7,2011
1534849.64,1,7.962,3.48,215.2771754,27,85.83,7,2011
1455119.97,1,7.962,3.575,215.3611087,28,88.54,7,2011
1396926.82,1,7.962,3.651,215.4222784,29,85.77,7,2011
1352219.79,1,7.962,3.682,215.4834482,30,86.83,7,2011
1624383.75,1,7.962,3.684,215.544618,31,91.65,8,2011
1525147.09,1,7.962,3.638,215.6057878,32,90.76,8,2011
1530761.43,1,7.962,3.554,215.6693107,33,89.94,8,2011
1464693.46,1,7.962,3.523,215.7332258,34,87.96,8,2011
1550229.22,1,7.962,3.533,215.7971409,35,87.83,9,2011
1540471.24,1,7.962,3.546,215.861056,36,76.0,9,2011
1514259.78,1,7.962,3.526,216.0410526,37,79.94,9,2011
1380020.27,1,7.962,3.467,216.3758246,38,75.8,9,2011
1394561.83,1,7.962,3.355,216.7105965,39,79.69,9,2011
1630989.95,1,7.866,3.285,217.0453684,40,69.31,10,2011
1493525.93,1,7.866,3.274,217.3552733,41,71.74,10,2011
1502562.78,1,7.866,3.353,217.5159762,42,63.71,10,2011
1445249.09,1,7.866,3.372,217.6766791,43,66.57,10,2011
1697229.58,1,7.866,3.332,217.837382,44,54.98,11,2011
1594938.89,1,7.866,3.297,217.9980849,45,59.11,11,2011
1539483.7,1,7.866,3.308,218.2205088,46,62.25,11,2011
2033320.66,1,7.866,3.236,218.4676211,47,60.14,11,2011
1584083.95,1,7.866,3.172,218.7147333,48,48.91,12,2011
1799682.38,1,7.866,3.158,218.9618456,49,43.93,12,2011
1881176.67,1,7.866,3.159,219.1794533,50,51.63,12,2011
2270188.99,1,7.866,3.112,219.3577216,51,47.96,12,2011
1497462.72,1,7.866,3.129,219.5359898,52,44.55,12,2011
1550369.92,1,7.348,3.157,219.7142581,1,49.01,1,2012
1459601.17,1,7.348,3.261,219.8925263,2,48.53,1,2012
1394393.84,1,7.348,3.268,219.9856893,3,54.11,1,2012
